order_id,customer_id,order_date,region,segment,payment_method,channel,status,product_category,product_name,unit_price,quantity,discount_pct,gross_sales,discount_amount,net_sales,year_month
47,2154,2024-08-09,Northeast,Mainstream,Card,In-Store,completed,Electronics,Smartphone,499,2,0.0,998,0.0,998.0,2024-08
48,1646,2024-09-30,Midwest,Premium,PayPal,In-Store,completed,Groceries,Rice,2,2,0.0,4,0.0,4.0,2024-09
49,1020,2024-08-31,Northeast,Mainstream,PayPal,In-Store,completed,Electronics,Smartphone,199,4,0.0,796,0.0,796.0,2024-08
50,1840,2024-06-02,South,Mainstream,PayPal,In-Store,completed,Toys,RC Car,80,1,0.0,80,0.0,80.0,2024-06
53,1387,2024-05-14,Midwest,Premium,Cash,In-Store,completed,Beauty,Perfume,25,3,0.0,75,0.0,75.0,2024-05
54,1600,2024-11-08,Midwest,Mainstream,Card,In-Store,completed,Home,Cookware,199,2,0.0,398,0.0,398.0,2024-11
55,1315,2024-01-08,West,Mainstream,Card,Online,completed,Electronics,Smartwatch,199,1,0.1,199,19.900000000000002,179.1,2024-01
56,1013,2024-05-07,West,Premium,Apple Pay,Online,completed,Groceries,Bread,12,2,0.0,24,0.0,24.0,2024-05
57,1241,2024-02-25,Midwest,Budget,Apple Pay,Online,completed,Clothing,Jacket,79,4,0.1,316,31.6,284.4,2024-02
58,1776,2024-05-05,South,Mainstream,PayPal,In-Store,completed,Clothing,Jacket,19,1,0.0,19,0.0,19.0,2024-05
59,2369,2024-06-07,Midwest,Budget,Card,Online,completed,Groceries,Milk,2,4,0.05,8,0.4,7.6,2024-06
60,1564,2024-02-28,South,Mainstream,Card,Online,completed,Clothing,Shoes,79,4,0.05,316,15.8,300.2,2024-02
62,2363,2024-05-19,Midwest,Premium,Cash,Online,completed,Electronics,Headphones,299,3,0.0,897,0.0,897.0,2024-05
63,1091,2024-06-24,South,Mainstream,Card,Online,completed,Groceries,Bread,8,1,0.0,8,0.0,8.0,2024-06
64,2390,2024-04-17,Northeast,Budget,Card,Online,completed,Toys,RC Car,10,2,0.05,20,1.0,19.0,2024-04
65,1955,2024-07-29,Northeast,Mainstream,PayPal,Online,completed,Clothing,T-shirt,99,3,0.1,297,29.700000000000003,267.3,2024-07
66,2478,2024-03-14,Northeast,Mainstream,Apple Pay,Online,completed,Home,Cookware,89,3,0.05,267,13.350000000000001,253.65,2024-03
68,1508,2024-12-22,South,Budget,Apple Pay,Online,completed,Groceries,Bread,2,2,0.05,4,0.2,3.8,2024-12
69,1775,2024-10-30,Northeast,Budget,Apple Pay,Online,completed,Electronics,Smartwatch,999,3,0.05,2997,149.85,2847.15,2024-10
70,1034,2024-08-20,Midwest,Budget,Card,In-Store,completed,Beauty,Perfume,35,3,0.0,105,0.0,105.0,2024-08
71,1205,2024-11-22,Northeast,Mainstream,PayPal,In-Store,completed,Home,Lamp,199,4,0.0,796,0.0,796.0,2024-11
72,2104,2024-06-30,Northeast,Mainstream,Card,Online,completed,Groceries,Milk,12,2,0.0,24,0.0,24.0,2024-06
73,2411,2024-05-01,South,Mainstream,Card,Online,completed,Toys,Puzzle,10,1,0.05,10,0.5,9.5,2024-05
74,2025,2024-11-29,West,Mainstream,Card,In-Store,completed,Electronics,Smartphone,299,1,0.0,299,0.0,299.0,2024-11
75,2021,2024-07-21,South,Premium,Card,Online,completed,Groceries,Coffee,3,1,0.0,3,0.0,3.0,2024-07
77,1565,2024-07-20,Midwest,Mainstream,Apple Pay,Online,completed,Beauty,Perfume,25,3,0.05,75,3.75,71.25,2024-07
78,2129,2024-04-02,South,Budget,Card,Online,completed,Electronics,Smartwatch,299,4,0.1,1196,119.60000000000001,1076.4,2024-04
79,1702,2024-11-24,South,Budget,Card,Online,completed,Home,Chair,199,4,0.05,796,39.800000000000004,756.2,2024-11
80,1401,2024-12-21,Northeast,Budget,Card,Online,completed,Toys,Lego Set,30,3,0.05,90,4.5,85.5,2024-12
81,1729,2024-06-24,Midwest,Mainstream,Card,Online,completed,Beauty,Makeup,35,4,0.05,140,7.0,133.0,2024-06
82,1161,2024-11-25,Midwest,Budget,Card,Online,completed,Groceries,Coffee,2,2,0.05,4,0.2,3.8,2024-11
83,1201,2024-07-29,Midwest,Budget,PayPal,In-Store,completed,Sports,Yoga Mat,25,1,0.0,25,0.0,25.0,2024-07
84,1995,2024-07-02,South,Premium,Card,In-Store,completed,Sports,Yoga Mat,45,1,0.0,45,0.0,45.0,2024-07
85,1269,2024-04-04,West,Mainstream,Card,In-Store,completed,Home,Sofa,399,4,0.0,1596,0.0,1596.0,2024-04
86,1815,2024-09-29,South,Premium,PayPal,In-Store,completed,Home,Sofa,399,2,0.0,798,0.0,798.0,2024-09
87,2294,2024-05-16,Northeast,Premium,PayPal,Online,completed,Clothing,Shoes,29,4,0.02,116,2.32,113.68,2024-05
88,1455,2024-08-24,South,Budget,Apple Pay,In-Store,completed,Clothing,Dress,29,1,0.0,29,0.0,29.0,2024-08
89,2485,2024-12-18,Midwest,Premium,PayPal,In-Store,completed,Home,Sofa,89,2,0.0,178,0.0,178.0,2024-12
90,2275,2024-09-21,Northeast,Budget,Card,Online,completed,Electronics,Headphones,499,2,0.15,998,149.7,848.3,2024-09
91,2016,2024-05-14,Midwest,Premium,Cash,Online,completed,Sports,Bike Helmet,45,1,0.02,45,0.9,44.1,2024-05
92,1295,2024-05-23,West,Mainstream,Apple Pay,Online,completed,Sports,Dumbbells,80,4,0.05,320,16.0,304.0,2024-05
94,1337,2024-08-18,South,Mainstream,Apple Pay,Online,completed,Home,Cookware,129,4,0.0,516,0.0,516.0,2024-08
95,1878,2024-05-13,Northeast,Mainstream,Card,Online,completed,Electronics,Headphones,299,4,0.1,1196,119.60000000000001,1076.4,2024-05
96,2076,2024-04-23,South,Mainstream,PayPal,In-Store,completed,Groceries,Rice,3,1,0.0,3,0.0,3.0,2024-04
98,1216,2024-05-04,West,Premium,PayPal,In-Store,completed,Groceries,Eggs,8,3,0.0,24,0.0,24.0,2024-05
100,1187,2024-03-01,West,Mainstream,Card,Online,completed,Sports,Tennis Racket,150,4,0.05,600,30.0,570.0,2024-03
101,1379,2024-09-06,Northeast,Budget,PayPal,Online,completed,Groceries,Rice,8,4,0.05,32,1.6,30.4,2024-09
102,1492,2024-10-24,West,Mainstream,Card,Online,completed,Home,Lamp,89,1,0.05,89,4.45,84.55,2024-10
103,2064,2024-01-13,West,Mainstream,Apple Pay,Online,completed,Electronics,Tablet,299,1,0.0,299,0.0,299.0,2024-01
104,2180,2024-09-11,Midwest,Mainstream,Card,Online,completed,Clothing,Jacket,99,4,0.0,396,0.0,396.0,2024-09
106,1064,2024-01-20,Northeast,Budget,Card,In-Store,completed,Toys,Doll,50,4,0.0,200,0.0,200.0,2024-01
107,1520,2024-02-19,South,Budget,PayPal,Online,completed,Toys,Board Game,80,2,0.15,160,24.0,136.0,2024-02
108,2367,2024-06-12,Midwest,Budget,Apple Pay,Online,completed,Electronics,Laptop,799,4,0.1,3196,319.6,2876.4,2024-06
110,1647,2024-03-28,West,Budget,Apple Pay,Online,completed,Electronics,Tablet,999,1,0.15,999,149.85,849.15,2024-03
111,2495,2024-03-09,Northeast,Mainstream,PayPal,In-Store,completed,Beauty,Lotion,25,1,0.0,25,0.0,25.0,2024-03
112,2086,2024-02-06,Northeast,Budget,Card,In-Store,completed,Beauty,Skincare,35,1,0.0,35,0.0,35.0,2024-02
113,2162,2024-09-09,South,Budget,Card,In-Store,completed,Sports,Tennis Racket,150,2,0.0,300,0.0,300.0,2024-09
114,1592,2024-09-08,West,Budget,Apple Pay,In-Store,completed,Groceries,Bread,12,1,0.0,12,0.0,12.0,2024-09
116,1418,2024-12-20,Midwest,Budget,Cash,Online,completed,Home,Lamp,129,3,0.05,387,19.35,367.65,2024-12
117,1288,2024-06-16,South,Mainstream,Card,In-Store,completed,Sports,Dumbbells,15,3,0.0,45,0.0,45.0,2024-06
118,1378,2024-02-23,Midwest,Budget,Card,Online,completed,Electronics,Smartwatch,299,2,0.1,598,59.800000000000004,538.2,2024-02
119,1230,2024-06-26,Midwest,Budget,Card,In-Store,completed,Beauty,Lotion,9,3,0.0,27,0.0,27.0,2024-06
120,2017,2024-10-23,Northeast,Premium,Card,Online,completed,Home,Sofa,199,1,0.0,199,0.0,199.0,2024-10
121,1040,2024-10-27,Midwest,Budget,Card,Online,completed,Electronics,Laptop,799,3,0.1,2397,239.70000000000002,2157.3,2024-10
122,2051,2024-12-24,South,Mainstream,PayPal,Online,completed,Home,Bedding,129,4,0.05,516,25.8,490.2,2024-12
123,1134,2024-04-15,South,Premium,Card,In-Store,completed,Electronics,Laptop,799,4,0.0,3196,0.0,3196.0,2024-04
124,1200,2024-05-16,Northeast,Mainstream,Cash,In-Store,completed,Electronics,Smartphone,499,4,0.0,1996,0.0,1996.0,2024-05
126,1929,2024-05-07,West,Budget,PayPal,Online,completed,Home,Chair,399,1,0.1,399,39.900000000000006,359.1,2024-05
127,2056,2024-12-07,Midwest,Mainstream,Card,Online,completed,Clothing,Jeans,49,4,0.0,196,0.0,196.0,2024-12
128,2071,2024-02-16,Midwest,Mainstream,Card,Online,completed,Clothing,Dress,99,1,0.05,99,4.95,94.05,2024-02
129,1502,2024-01-05,South,Budget,Cash,Online,completed,Home,Cookware,399,1,0.1,399,39.900000000000006,359.1,2024-01
130,1406,2024-09-13,Midwest,Budget,Card,Online,completed,Electronics,Smartphone,499,2,0.05,998,49.900000000000006,948.1,2024-09
131,1804,2024-10-26,South,Mainstream,Card,Online,completed,Home,Sofa,129,1,0.1,129,12.9,116.1,2024-10
132,1098,2024-05-29,West,Budget,PayPal,Online,completed,Home,Lamp,49,1,0.05,49,2.45,46.55,2024-05
133,1683,2024-10-20,South,Mainstream,Card,In-Store,completed,Sports,Bike Helmet,15,3,0.0,45,0.0,45.0,2024-10
134,1725,2024-08-30,Midwest,Mainstream,Apple Pay,In-Store,completed,Home,Lamp,49,2,0.0,98,0.0,98.0,2024-08
135,1960,2024-10-01,Midwest,Budget,Cash,In-Store,completed,Home,Lamp,399,2,0.0,798,0.0,798.0,2024-10
136,1612,2024-07-26,Midwest,Budget,Card,Online,completed,Home,Sofa,129,2,0.15,258,38.699999999999996,219.3,2024-07
137,2485,2024-04-24,West,Budget,Card,Online,completed,Electronics,Smartphone,299,4,0.15,1196,179.4,1016.6,2024-04
138,1642,2024-07-13,South,Mainstream,PayPal,Online,completed,Groceries,Bread,3,4,0.05,12,0.6000000000000001,11.4,2024-07
139,2028,2024-12-08,West,Budget,Cash,Online,completed,Groceries,Rice,3,2,0.05,6,0.30000000000000004,5.7,2024-12
140,2241,2024-06-18,South,Mainstream,PayPal,In-Store,completed,Home,Chair,129,4,0.0,516,0.0,516.0,2024-06
141,1502,2024-03-22,West,Mainstream,Card,In-Store,completed,Clothing,Jeans,79,1,0.0,79,0.0,79.0,2024-03
142,1766,2024-06-02,West,Mainstream,PayPal,In-Store,completed,Home,Lamp,199,3,0.0,597,0.0,597.0,2024-06
143,1397,2024-05-20,Northeast,Budget,Apple Pay,Online,completed,Groceries,Milk,2,1,0.15,2,0.3,1.7,2024-05
144,1870,2024-11-09,West,Mainstream,Card,Online,completed,Home,Chair,49,3,0.0,147,0.0,147.0,2024-11
145,1794,2024-05-25,Midwest,Budget,Apple Pay,Online,completed,Clothing,T-shirt,19,2,0.05,38,1.9000000000000001,36.1,2024-05
146,1392,2024-11-18,West,Budget,Card,In-Store,completed,Clothing,Dress,99,1,0.0,99,0.0,99.0,2024-11
147,1206,2024-05-01,Midwest,Budget,Card,In-Store,completed,Toys,Doll,50,4,0.0,200,0.0,200.0,2024-05
148,2038,2024-09-08,Northeast,Mainstream,Card,Online,completed,Beauty,Shampoo,60,4,0.0,240,0.0,240.0,2024-09
149,1891,2024-12-08,South,Premium,Card,Online,completed,Sports,Bike Helmet,45,4,0.05,180,9.0,171.0,2024-12
150,2484,2024-11-06,South,Budget,Card,Online,completed,Clothing,Dress,49,3,0.05,147,7.3500000000000005,139.65,2024-11
151,1863,2024-03-29,West,Mainstream,Card,In-Store,completed,Toys,Doll,20,1,0.0,20,0.0,20.0,2024-03
153,2264,2024-03-03,South,Mainstream,Card,Online,completed,Home,Chair,89,2,0.0,178,0.0,178.0,2024-03
154,1563,2024-12-12,Midwest,Budget,Card,In-Store,completed,Electronics,Smartwatch,499,2,0.0,998,0.0,998.0,2024-12
155,2020,2024-11-03,Midwest,Mainstream,Card,Online,completed,Electronics,Smartphone,999,4,0.05,3996,199.8,3796.2,2024-11
156,1095,2024-10-06,Northeast,Mainstream,Apple Pay,In-Store,completed,Beauty,Perfume,25,4,0.0,100,0.0,100.0,2024-10
157,1484,2024-03-12,Northeast,Mainstream,Apple Pay,In-Store,completed,Home,Chair,399,3,0.0,1197,0.0,1197.0,2024-03
159,1230,2024-12-31,Northeast,Mainstream,Card,Online,completed,Groceries,Rice,2,1,0.1,2,0.2,1.8,2024-12
160,1748,2024-04-03,Northeast,Mainstream,Card,In-Store,completed,Home,Chair,49,3,0.0,147,0.0,147.0,2024-04
161,2194,2024-12-04,Northeast,Budget,Card,Online,completed,Electronics,Tablet,199,2,0.15,398,59.699999999999996,338.3,2024-12
162,1540,2024-12-01,West,Budget,Card,Online,completed,Home,Lamp,129,2,0.1,258,25.8,232.2,2024-12
163,2059,2024-05-31,South,Premium,Apple Pay,In-Store,completed,Groceries,Coffee,8,4,0.02,32,0.64,31.36,2024-05
164,1524,2024-12-21,South,Premium,Apple Pay,Online,completed,Electronics,Laptop,799,3,0.0,2397,0.0,2397.0,2024-12
165,2183,2024-02-09,Northeast,Budget,Card,Online,completed,Electronics,Smartphone,499,3,0.1,1497,149.70000000000002,1347.3,2024-02
167,2109,2024-03-02,South,Mainstream,PayPal,In-Store,completed,Home,Lamp,49,3,0.0,147,0.0,147.0,2024-03
168,1577,2024-09-10,Northeast,Premium,PayPal,Online,completed,Clothing,Shoes,99,3,0.0,297,0.0,297.0,2024-09
169,1681,2024-03-09,Midwest,Premium,Card,In-Store,completed,Electronics,Smartphone,799,3,0.02,2397,47.94,2349.06,2024-03
170,1556,2024-09-01,Midwest,Mainstream,Card,Online,completed,Beauty,Skincare,35,2,0.0,70,0.0,70.0,2024-09
171,2012,2024-12-30,South,Budget,Card,Online,completed,Groceries,Coffee,3,4,0.15,12,1.7999999999999998,10.2,2024-12
172,1645,2024-06-18,Midwest,Mainstream,Card,Online,completed,Clothing,T-shirt,79,4,0.05,316,15.8,300.2,2024-06
173,1795,2024-06-26,South,Mainstream,PayPal,Online,completed,Home,Chair,129,1,0.0,129,0.0,129.0,2024-06
174,2051,2024-07-07,Northeast,Premium,Card,In-Store,completed,Clothing,Jeans,99,4,0.02,396,7.92,388.08,2024-07
175,2363,2024-09-16,Midwest,Budget,Card,Online,completed,Groceries,Milk,8,1,0.1,8,0.8,7.2,2024-09
176,2354,2024-03-12,West,Mainstream,Card,Online,completed,Clothing,Jeans,49,1,0.1,49,4.9,44.1,2024-03
177,2371,2024-01-17,Midwest,Mainstream,Card,In-Store,completed,Groceries,Coffee,5,2,0.0,10,0.0,10.0,2024-01
178,2496,2024-12-06,South,Budget,Cash,Online,completed,Clothing,Shoes,19,2,0.05,38,1.9000000000000001,36.1,2024-12
180,1189,2024-08-05,South,Budget,Card,Online,completed,Clothing,Jeans,29,1,0.1,29,2.9000000000000004,26.1,2024-08
181,2248,2024-04-16,South,Mainstream,PayPal,In-Store,completed,Home,Lamp,399,2,0.0,798,0.0,798.0,2024-04
182,2408,2024-10-30,South,Mainstream,Card,Online,completed,Clothing,Shoes,79,2,0.05,158,7.9,150.1,2024-10
183,2400,2024-06-21,Midwest,Premium,Card,Online,completed,Groceries,Coffee,12,4,0.0,48,0.0,48.0,2024-06
184,2306,2024-08-06,West,Premium,Card,Online,completed,Groceries,Bread,2,1,0.0,2,0.0,2.0,2024-08
186,1627,2024-08-05,Northeast,Budget,Card,In-Store,completed,Clothing,T-shirt,99,2,0.0,198,0.0,198.0,2024-08
187,1972,2024-01-31,Midwest,Mainstream,Card,Online,completed,Sports,Tennis Racket,80,4,0.0,320,0.0,320.0,2024-01
188,2282,2024-02-16,West,Mainstream,Cash,Online,completed,Clothing,Shoes,99,2,0.0,198,0.0,198.0,2024-02
189,2382,2024-05-13,Northeast,Mainstream,Card,Online,completed,Sports,Dumbbells,45,4,0.05,180,9.0,171.0,2024-05
190,1709,2024-04-17,West,Budget,PayPal,Online,completed,Groceries,Eggs,3,2,0.1,6,0.6000000000000001,5.4,2024-04
191,2479,2024-03-12,South,Mainstream,Apple Pay,Online,completed,Home,Lamp,49,3,0.05,147,7.3500000000000005,139.65,2024-03
192,2434,2024-11-22,West,Mainstream,Card,In-Store,completed,Electronics,Headphones,799,2,0.0,1598,0.0,1598.0,2024-11
193,1648,2024-04-17,South,Budget,PayPal,Online,completed,Groceries,Rice,8,2,0.15,16,2.4,13.6,2024-04
194,1317,2024-11-04,South,Budget,PayPal,Online,completed,Home,Chair,129,1,0.05,129,6.45,122.55,2024-11
195,2248,2024-09-28,Midwest,Premium,Apple Pay,Online,completed,Clothing,Dress,19,2,0.0,38,0.0,38.0,2024-09
196,2257,2024-06-19,West,Mainstream,Cash,Online,completed,Clothing,Jacket,19,1,0.1,19,1.9000000000000001,17.1,2024-06
197,1683,2024-04-25,South,Premium,Card,Online,completed,Groceries,Coffee,3,3,0.02,9,0.18,8.82,2024-04
198,1663,2024-11-24,South,Mainstream,Card,In-Store,completed,Clothing,Dress,29,1,0.0,29,0.0,29.0,2024-11
199,2397,2024-03-14,Northeast,Budget,Card,Online,completed,Home,Sofa,49,3,0.05,147,7.3500000000000005,139.65,2024-03
200,2495,2024-09-12,Northeast,Mainstream,Apple Pay,Online,completed,Electronics,Tablet,799,1,0.05,799,39.95,759.05,2024-09
201,2256,2024-03-21,West,Budget,Card,Online,completed,Beauty,Skincare,35,1,0.05,35,1.75,33.25,2024-03
202,2136,2024-09-24,Northeast,Mainstream,Cash,In-Store,completed,Toys,RC Car,30,1,0.0,30,0.0,30.0,2024-09
203,1441,2024-05-07,West,Budget,Cash,In-Store,completed,Electronics,Smartwatch,199,1,0.0,199,0.0,199.0,2024-05
205,2291,2024-08-22,West,Mainstream,Card,Online,completed,Toys,RC Car,10,3,0.0,30,0.0,30.0,2024-08
206,2409,2024-02-10,Northeast,Budget,Apple Pay,Online,completed,Electronics,Tablet,199,4,0.15,796,119.39999999999999,676.6,2024-02
207,2410,2024-06-29,Northeast,Budget,PayPal,Online,completed,Electronics,Smartwatch,799,1,0.15,799,119.85,679.15,2024-06
208,2136,2024-06-05,Northeast,Mainstream,Card,Online,completed,Beauty,Shampoo,60,3,0.1,180,18.0,162.0,2024-06
209,1951,2024-02-28,West,Premium,Card,Online,completed,Home,Lamp,89,4,0.0,356,0.0,356.0,2024-02
210,2104,2024-12-10,South,Mainstream,Card,Online,completed,Home,Bedding,399,3,0.1,1197,119.7,1077.3,2024-12
211,1698,2024-09-05,Northeast,Mainstream,Card,Online,completed,Clothing,Jeans,29,2,0.0,58,0.0,58.0,2024-09
212,1112,2024-07-10,West,Budget,Card,Online,completed,Groceries,Bread,12,3,0.05,36,1.8,34.2,2024-07
214,1641,2024-03-20,West,Mainstream,Card,Online,completed,Electronics,Laptop,799,2,0.1,1598,159.8,1438.2,2024-03
215,1219,2024-05-13,Northeast,Mainstream,Card,In-Store,completed,Groceries,Milk,8,3,0.0,24,0.0,24.0,2024-05
216,1854,2024-07-31,South,Mainstream,Card,Online,completed,Home,Cookware,49,1,0.0,49,0.0,49.0,2024-07
217,2248,2024-12-13,Midwest,Mainstream,PayPal,In-Store,completed,Clothing,T-shirt,19,3,0.0,57,0.0,57.0,2024-12
219,2426,2024-12-13,Northeast,Budget,Card,Online,completed,Clothing,Dress,99,1,0.1,99,9.9,89.1,2024-12
220,2153,2024-12-02,Northeast,Budget,Card,In-Store,completed,Sports,Tennis Racket,150,2,0.0,300,0.0,300.0,2024-12
221,2076,2024-03-11,West,Budget,PayPal,Online,completed,Home,Sofa,129,2,0.1,258,25.8,232.2,2024-03
222,1729,2024-08-01,Northeast,Budget,PayPal,In-Store,completed,Home,Lamp,89,3,0.0,267,0.0,267.0,2024-08
226,2462,2024-10-12,Midwest,Premium,PayPal,Online,completed,Clothing,Jeans,79,4,0.05,316,15.8,300.2,2024-10
227,1202,2024-07-03,South,Premium,PayPal,In-Store,completed,Electronics,Smartwatch,499,1,0.05,499,24.950000000000003,474.05,2024-07
228,2207,2024-07-25,South,Mainstream,PayPal,Online,completed,Sports,Bike Helmet,25,4,0.0,100,0.0,100.0,2024-07
229,1122,2024-04-08,West,Premium,Apple Pay,Online,completed,Clothing,Dress,99,1,0.02,99,1.98,97.02,2024-04
230,1400,2024-08-29,South,Budget,Card,Online,completed,Sports,Running Shoes,150,1,0.05,150,7.5,142.5,2024-08
231,1766,2024-06-06,West,Premium,Card,In-Store,completed,Clothing,Jacket,29,4,0.0,116,0.0,116.0,2024-06
232,1293,2024-04-07,Midwest,Budget,Card,Online,completed,Clothing,T-shirt,99,3,0.15,297,44.55,252.45,2024-04
233,1279,2024-02-11,Midwest,Mainstream,Card,Online,completed,Toys,Doll,80,2,0.0,160,0.0,160.0,2024-02
234,1883,2024-05-18,South,Budget,PayPal,Online,completed,Toys,RC Car,50,1,0.1,50,5.0,45.0,2024-05
235,1197,2024-10-09,Northeast,Premium,PayPal,Online,completed,Toys,Doll,30,1,0.02,30,0.6,29.4,2024-10
236,1981,2024-08-14,Midwest,Budget,PayPal,Online,completed,Electronics,Laptop,999,3,0.1,2997,299.7,2697.3,2024-08
238,1143,2024-08-30,West,Mainstream,PayPal,In-Store,completed,Electronics,Smartwatch,199,2,0.0,398,0.0,398.0,2024-08
239,1608,2024-01-18,West,Mainstream,Card,In-Store,completed,Home,Bedding,49,1,0.0,49,0.0,49.0,2024-01
240,2224,2024-03-17,Northeast,Mainstream,Card,Online,completed,Home,Lamp,399,4,0.05,1596,79.80000000000001,1516.2,2024-03
241,2147,2024-02-14,Northeast,Mainstream,Cash,Online,completed,Toys,Doll,80,3,0.05,240,12.0,228.0,2024-02
242,1186,2024-12-08,South,Mainstream,Card,Online,completed,Sports,Bike Helmet,45,2,0.1,90,9.0,81.0,2024-12
